"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"RLY4","SRD-05VDC-SL-C","RELAY-TH_SRD-XXVDC-XL-C","39.116mm","-14.478mm","39.116mm","-14.478mm","34.016mm","-20.478mm","5","T","0","No","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"RLY3","SRD-05VDC-SL-C","RELAY-TH_SRD-XXVDC-XL-C","39.116mm","1.778mm","39.116mm","1.778mm","34.016mm","-4.222mm","5","T","0","No","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"RLY2","SRD-05VDC-SL-C","RELAY-TH_SRD-XXVDC-XL-C","39.116mm","19.431mm","39.116mm","19.431mm","34.016mm","13.431mm","5","T","0","No","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"RLY1","SRD-05VDC-SL-C","RELAY-TH_SRD-XXVDC-XL-C","39.125mm","36.507mm","39.125mm","36.507mm","34.025mm","30.507mm","5","T","0","No","SRD-05VDC-SL-C","SRD-05VDC-SL-C"
"H1","2.54-1*3P针","HDR-TH_4P-P2.54-V-M_146458-4","-31.623mm","11.43mm","-31.623mm","11.43mm","-31.623mm","15.24mm","4","T","270","No","DHT11","DHT11"
"C9","Cap tht","Cap tht","14.78mm","-54.522mm","15.367mm","-54.61mm","24.767mm","-54.509mm","2","T","180","No","Cap tht","Cap tht"
"C10","Cap tht","Cap tht","-12.271mm","-54.522mm","-11.684mm","-54.61mm","-2.284mm","-54.509mm","2","T","180","No","Cap tht","Cap tht"
"D1","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","28.448mm","32.247mm","28.448mm","32.247mm","28.448mm","30.554mm","2","T","90","Yes","1N4007W","1N4007W"
"D2","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","27.686mm","14.086mm","27.686mm","14.086mm","27.686mm","12.393mm","2","T","90","Yes","1N4007W","1N4007W"
"D3","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","28.067mm","-2.932mm","28.067mm","-2.932mm","28.067mm","-4.625mm","2","T","90","Yes","1N4007W","1N4007W"
"D4","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","27.94mm","-19.05mm","27.94mm","-19.05mm","27.94mm","-20.742mm","2","T","90","Yes","1N4007W","1N4007W"
"D5","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","14.205mm","-25.866mm","14.205mm","-25.866mm","12.513mm","-25.866mm","2","T","0","Yes","1N4007W","1N4007W"
"D6","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","-3.321mm","-26.247mm","-3.321mm","-26.247mm","-5.013mm","-26.247mm","2","T","0","Yes","1N4007W","1N4007W"
"D7","1N4007W","SOD-123_L2.8-W1.8-LS3.7-RD","-19.05mm","-27.305mm","-19.05mm","-27.305mm","-20.742mm","-27.305mm","2","T","0","Yes","1N4007W","1N4007W"
